year,region_code,region,exiobase_code,exiobase_category,ef_kgco23_per_mil_euros,ef_kgco2e_per_euro,market
2022,SE,Sweden,p62,Air transport services,497893.49,0.49789349,"EMEA (Europe, the Middle East and Africa)"
2022,SI,Slovenia,p62,Air transport services,884246.6,0.8842466,"EMEA (Europe, the Middle East and Africa)"
2022,SK,Slovakia,p62,Air transport services,566549.09,0.56654909,"EMEA (Europe, the Middle East and Africa)"
2022,GB,United Kingdom,p62,Air transport services,1205559.1,1.2055591,"EMEA (Europe, the Middle East and Africa)"
2022,US,United States,p62,Air transport services,845384.38,0.84538438,NA (North America)
2022,JP,Japan,p62,Air transport services,724750.54,0.72475054,APAC (Asia-Pacific)
2022,CN,China,p62,Air transport services,1682067.41,1.68206741,APAC (Asia-Pacific)
2022,CA,Canada,p62,Air transport services,1277664.6,1.2776646,NA (North America)
2022,KR,Korea,p62,Air transport services,1650063.39,1.65006339,APAC (Asia-Pacific)
2022,BR,Brazil,p62,Air transport services,1027002.92,1.02700292,LATAM (Latin America)
2022,IN,India,p62,Air transport services,2354733.36,2.35473336,APAC (Asia-Pacific)
2022,MX,Mexico,p62,Air transport services,1233361.68,1.23336168,LATAM (Latin America)
2022,RU,Russia,p62,Air transport services,2220767.22,2.22076722,"EMEA (Europe, the Middle East and Africa)"
2022,AU,Australia,p62,Air transport services,1729673.37,1.72967337,APAC (Asia-Pacific)
2022,CH,Switzerland,p62,Air transport services,712872.31,0.71287231,"EMEA (Europe, the Middle East and Africa)"
2022,TR,Turkey,p62,Air transport services,1396092.43,1.39609243,"EMEA (Europe, the Middle East and Africa)"
2022,TW,Taiwan,p62,Air transport services,3452856.94,3.45285694,APAC (Asia-Pacific)
2022,NO,Norway,p62,Air transport services,983190.07,0.98319007,"EMEA (Europe, the Middle East and Africa)"
2022,ID,Indonesia,p62,Air transport services,1882289.16,1.88228916,APAC (Asia-Pacific)
2022,ZA,South Africa,p62,Air transport services,2100271.33,2.10027133,"EMEA (Europe, the Middle East and Africa)"
2022,WA,ROW-Asia,p62,Air transport services,1597840.28,1.59784028,APAC (Asia-Pacific)
2022,WL,ROW-Americas,p62,Air transport services,716655.94,0.71665594,LATAM (Latin America)
2022,WE,ROW-Europe,p62,Air transport services,1139617.11,1.13961711,"EMEA (Europe, the Middle East and Africa)"
2022,WF,ROW-Africa,p62,Air transport services,1387973.04,1.38797304,"EMEA (Europe, the Middle East and Africa)"
2022,WM,ROW-Middle East,p62,Air transport services,2487460.81,2.48746081,"EMEA (Europe, the Middle East and Africa)"
2022,AT,Austria,p27.42,Aluminium and aluminium products,763002.95,0.76300295,"EMEA (Europe, the Middle East and Africa)"
2022,BE,Belgium,p27.42,Aluminium and aluminium products,695731.17,0.69573117,"EMEA (Europe, the Middle East and Africa)"
2022,BG,Bulgaria,p27.42,Aluminium and aluminium products,1801681.79,1.80168179,"EMEA (Europe, the Middle East and Africa)"
2022,CY,Cyprus,p27.42,Aluminium and aluminium products,523213.95,0.52321395,"EMEA (Europe, the Middle East and Africa)"
2022,CZ,Czech Republic,p27.42,Aluminium and aluminium products,919449.06,0.91944906,"EMEA (Europe, the Middle East and Africa)"
2022,DE,Germany,p27.42,Aluminium and aluminium products,813604.16,0.81360416,"EMEA (Europe, the Middle East and Africa)"
2022,DK,Denmark,p27.42,Aluminium and aluminium products,447214.72,0.44721472,"EMEA (Europe, the Middle East and Africa)"
2022,EE,Estonia,p27.42,Aluminium and aluminium products,759786.54,0.75978654,"EMEA (Europe, the Middle East and Africa)"
2022,ES,Spain,p27.42,Aluminium and aluminium products,1007255.33,1.00725533,"EMEA (Europe, the Middle East and Africa)"
2022,FI,Finland,p27.42,Aluminium and aluminium products,683696.89,0.68369689,"EMEA (Europe, the Middle East and Africa)"
2022,FR,France,p27.42,Aluminium and aluminium products,491946.54,0.49194654,"EMEA (Europe, the Middle East and Africa)"
2022,GR,Greece,p27.42,Aluminium and aluminium products,1293610.17,1.29361017,"EMEA (Europe, the Middle East and Africa)"
2022,HR,Croatia,p27.42,Aluminium and aluminium products,553199.49,0.55319949,"EMEA (Europe, the Middle East and Africa)"
2022,HU,Hungary,p27.42,Aluminium and aluminium products,952388.65,0.95238865,"EMEA (Europe, the Middle East and Africa)"
2022,IE,Ireland,p27.42,Aluminium and aluminium products,1057825,1.057825,"EMEA (Europe, the Middle East and Africa)"
2022,IT,Italy,p27.42,Aluminium and aluminium products,705767.15,0.70576715,"EMEA (Europe, the Middle East and Africa)"
2022,LT,Lithuania,p27.42,Aluminium and aluminium products,669525.29,0.66952529,"EMEA (Europe, the Middle East and Africa)"
2022,LU,Luxembourg,p27.42,Aluminium and aluminium products,825448.25,0.82544825,"EMEA (Europe, the Middle East and Africa)"
2022,LV,Latvia,p27.42,Aluminium and aluminium products,619739.56,0.61973956,"EMEA (Europe, the Middle East and Africa)"
2022,MT,Malta,p27.42,Aluminium and aluminium products,18386049.8,18.3860498,"EMEA (Europe, the Middle East and Africa)"
2022,NL,Netherlands,p27.42,Aluminium and aluminium products,1334261.45,1.33426145,"EMEA (Europe, the Middle East and Africa)"
2022,PL,Poland,p27.42,Aluminium and aluminium products,1694753.2,1.6947532,"EMEA (Europe, the Middle East and Africa)"
2022,PT,Portugal,p27.42,Aluminium and aluminium products,20451239,20.451239,"EMEA (Europe, the Middle East and Africa)"
2022,RO,Romania,p27.42,Aluminium and aluminium products,716809.19,0.71680919,"EMEA (Europe, the Middle East and Africa)"
2022,SE,Sweden,p27.42,Aluminium and aluminium products,1039710.22,1.03971022,"EMEA (Europe, the Middle East and Africa)"
2022,SI,Slovenia,p27.42,Aluminium and aluminium products,639028.84,0.63902884,"EMEA (Europe, the Middle East and Africa)"
2022,SK,Slovakia,p27.42,Aluminium and aluminium products,736305.02,0.73630502,"EMEA (Europe, the Middle East and Africa)"
2022,GB,United Kingdom,p27.42,Aluminium and aluminium products,821153.81,0.82115381,"EMEA (Europe, the Middle East and Africa)"
2022,US,United States,p27.42,Aluminium and aluminium products,796619.31,0.79661931,NA (North America)
2022,JP,Japan,p27.42,Aluminium and aluminium products,731923.76,0.73192376,APAC (Asia-Pacific)
2022,CN,China,p27.42,Aluminium and aluminium products,2694544.67,2.69454467,APAC (Asia-Pacific)
2022,CA,Canada,p27.42,Aluminium and aluminium products,1077754.48,1.07775448,NA (North America)
2022,KR,Korea,p27.42,Aluminium and aluminium products,1929847.67,1.92984767,APAC (Asia-Pacific)
2022,BR,Brazil,p27.42,Aluminium and aluminium products,3514361.76,3.51436176,LATAM (Latin America)
2022,IN,India,p27.42,Aluminium and aluminium products,2510417.95,2.51041795,APAC (Asia-Pacific)
2022,MX,Mexico,p27.42,Aluminium and aluminium products,3013580.11,3.01358011,LATAM (Latin America)
2022,RU,Russia,p27.42,Aluminium and aluminium products,1233898.92,1.23389892,"EMEA (Europe, the Middle East and Africa)"
2022,AU,Australia,p27.42,Aluminium and aluminium products,1939437.15,1.93943715,APAC (Asia-Pacific)
2022,CH,Switzerland,p27.42,Aluminium and aluminium products,266572.17,0.26657217,"EMEA (Europe, the Middle East and Africa)"
2022,TR,Turkey,p27.42,Aluminium and aluminium products,2402982.01,2.40298201,"EMEA (Europe, the Middle East and Africa)"
2022,TW,Taiwan,p27.42,Aluminium and aluminium products,781778.33,0.78177833,APAC (Asia-Pacific)
2022,NO,Norway,p27.42,Aluminium and aluminium products,814689.91,0.81468991,"EMEA (Europe, the Middle East and Africa)"
2022,ID,Indonesia,p27.42,Aluminium and aluminium products,1350415.61,1.35041561,APAC (Asia-Pacific)
2022,ZA,South Africa,p27.42,Aluminium and aluminium products,7742108.9,7.7421089,"EMEA (Europe, the Middle East and Africa)"
2022,WA,ROW-Asia,p27.42,Aluminium and aluminium products,1817046.14,1.81704614,APAC (Asia-Pacific)
2022,WL,ROW-Americas,p27.42,Aluminium and aluminium products,1059096.4,1.0590964,LATAM (Latin America)
2022,WE,ROW-Europe,p27.42,Aluminium and aluminium products,3312761.14,3.31276114,"EMEA (Europe, the Middle East and Africa)"
2022,WF,ROW-Africa,p27.42,Aluminium and aluminium products,2088349.32,2.08834932,"EMEA (Europe, the Middle East and Africa)"
2022,WM,ROW-Middle East,p27.42,Aluminium and aluminium products,1864914.63,1.86491463,"EMEA (Europe, the Middle East and Africa)"
2022,AT,Austria,p13.20.13,Aluminium ores and concentrates,0,0,"EMEA (Europe, the Middle East and Africa)"
2022,BE,Belgium,p13.20.13,Aluminium ores and concentrates,78636.78,0.07863678,"EMEA (Europe, the Middle East and Africa)"
2022,BG,Bulgaria,p13.20.13,Aluminium ores and concentrates,1450797.71,1.45079771,"EMEA (Europe, the Middle East and Africa)"
